tenantid 900004
patientid 9
tenantid 900004
patientid 10
tenantid 900004
patientid 9
tenantid 900004
patientid 10
tenantid 900004
patientid 11
tenantid 900004
patientid 12
tenantid 900004
patientid 14
tenantid 900004
patientid 14
tenantid 900004
patientid 12
tenantid 900004
patientid 15
tenantid 900004
patientid 22
tenantid 900004
patientid 15
tenantid 900004
patientid 20
tenantid 900004
patientid 19
tenantid 900004
patientid 11
tenantid 900004
patientid 21
tenantid 900004
patientid 13
tenantid 900004
patientid 19
tenantid 900004
patientid 21
tenantid 900004
patientid 18
tenantid 900004
patientid 18
tenantid 900004
patientid 16
tenantid 900004
patientid 17
tenantid 900004
patientid 13
tenantid 900004
patientid 17
tenantid 900004
patientid 20
tenantid 900004
patientid 16
tenantid 900004
patientid 23
tenantid 900004
patientid 31
tenantid 900004
patientid 24
tenantid 900004
patientid 27
tenantid 900004
patientid 29
tenantid 900004
patientid 25
tenantid 900004
patientid 23
tenantid 900004
patientid 26
tenantid 900004
patientid 26
tenantid 900004
patientid 25
tenantid 900004
patientid 24
tenantid 900004
patientid 30
tenantid 900004
patientid 34
tenantid 900004
patientid 34
tenantid 900004
patientid 32
tenantid 900004
patientid 35
tenantid 900004
patientid 37
tenantid 900004
patientid 39
tenantid 900004
patientid 44
tenantid 900004
patientid 38
tenantid 900004
patientid 36
tenantid 900004
patientid 40
tenantid 900004
patientid 31
tenantid 900004
patientid 32
tenantid 900004
patientid 28
tenantid 900004
patientid 22
tenantid 900004
patientid 27
tenantid 900004
patientid 33
tenantid 900004
patientid 33
tenantid 900004
patientid 36
tenantid 900004
patientid 41
tenantid 900004
patientid 39
tenantid 900004
patientid 40
tenantid 900004
patientid 28
tenantid 900004
patientid 29
tenantid 900004
patientid 30
tenantid 900004
patientid 42
tenantid 900004
patientid 46
tenantid 900004
patientid 41
tenantid 900004
patientid 35
tenantid 900004
patientid 38
tenantid 900004
patientid 37
tenantid 900004
patientid 43
tenantid 900004
patientid 44
tenantid 900004
patientid 43
tenantid 900004
patientid 46
tenantid 900004
patientid 50
tenantid 900004
patientid 47
tenantid 900004
patientid 48
tenantid 900004
patientid 45
tenantid 900004
patientid 45
tenantid 900004
patientid 50
tenantid 900004
patientid 47
tenantid 900004
patientid 42
tenantid 900004
patientid 48
tenantid 900004
patientid 9
tenantid 900004
patientid 10
tenantid 900004
patientid 9
tenantid 900004
patientid 10
tenantid 900004
patientid 11
tenantid 900004
patientid 12
tenantid 900004
patientid 14
tenantid 900004
patientid 14
tenantid 900004
patientid 12
tenantid 900004
patientid 15
tenantid 900004
patientid 22
tenantid 900004
patientid 15
tenantid 900004
patientid 20
tenantid 900004
patientid 19
tenantid 900004
patientid 11
tenantid 900004
patientid 21
tenantid 900004
patientid 13
tenantid 900004
patientid 19
tenantid 900004
patientid 21
tenantid 900004
patientid 18
tenantid 900004
patientid 18
tenantid 900004
patientid 16
tenantid 900004
patientid 17
tenantid 900004
patientid 13
tenantid 900004
patientid 17
tenantid 900004
patientid 20
tenantid 900004
patientid 16
tenantid 900004
patientid 23
tenantid 900004
patientid 31
tenantid 900004
patientid 24
tenantid 900004
patientid 27
tenantid 900004
patientid 29
tenantid 900004
patientid 25
tenantid 900004
patientid 23
tenantid 900004
patientid 26
tenantid 900004
patientid 26
tenantid 900004
patientid 25
tenantid 900004
patientid 24
tenantid 900004
patientid 30
tenantid 900004
patientid 34
tenantid 900004
patientid 34
tenantid 900004
patientid 32
tenantid 900004
patientid 35
tenantid 900004
patientid 37
tenantid 900004
patientid 39
tenantid 900004
patientid 44
tenantid 900004
patientid 38
tenantid 900004
patientid 36
tenantid 900004
patientid 40
tenantid 900004
patientid 31
tenantid 900004
patientid 32
tenantid 900004
patientid 28
tenantid 900004
patientid 22
tenantid 900004
patientid 27
tenantid 900004
patientid 33
tenantid 900004
patientid 33
tenantid 900004
patientid 36
tenantid 900004
patientid 41
tenantid 900004
patientid 39
tenantid 900004
patientid 40
tenantid 900004
patientid 28
tenantid 900004
patientid 29
tenantid 900004
patientid 30
tenantid 900004
patientid 42
tenantid 900004
patientid 46
tenantid 900004
patientid 41
tenantid 900004
patientid 35
tenantid 900004
patientid 38
tenantid 900004
patientid 37
tenantid 900004
patientid 43
tenantid 900004
patientid 44
tenantid 900004
patientid 43
tenantid 900004
patientid 46
tenantid 900004
patientid 50
tenantid 900004
patientid 47
tenantid 900004
patientid 48
tenantid 900004
patientid 45
tenantid 900004
patientid 45
tenantid 900004
patientid 50
tenantid 900004
patientid 47
tenantid 900004
patientid 42
tenantid 900004
patientid 48
